from_utc,to_utc,forecast_gco2_per_kwh,actual_gco2_per_kwh,index_label
2025-08-24 20:00:00+00:00,2025-08-24 20:30:00+00:00,185,188,high
2025-08-24 20:30:00+00:00,2025-08-24 21:00:00+00:00,187,198,high
2025-08-24 21:00:00+00:00,2025-08-24 21:30:00+00:00,179,196,high
2025-08-24 21:30:00+00:00,2025-08-24 22:00:00+00:00,172,168,moderate
2025-08-24 22:00:00+00:00,2025-08-24 22:30:00+00:00,161,161,moderate
2025-08-24 22:30:00+00:00,2025-08-24 23:00:00+00:00,150,164,moderate
2025-08-24 23:00:00+00:00,2025-08-24 23:30:00+00:00,146,160,moderate
2025-08-24 23:30:00+00:00,2025-08-25 00:00:00+00:00,153,160,moderate
2025-08-25 00:00:00+00:00,2025-08-25 00:30:00+00:00,145,161,moderate
2025-08-25 00:30:00+00:00,2025-08-25 01:00:00+00:00,143,160,moderate
2025-08-25 01:00:00+00:00,2025-08-25 01:30:00+00:00,144,152,moderate
2025-08-25 01:30:00+00:00,2025-08-25 02:00:00+00:00,145,148,moderate
2025-08-25 02:00:00+00:00,2025-08-25 02:30:00+00:00,143,145,moderate
2025-08-25 02:30:00+00:00,2025-08-25 03:00:00+00:00,145,152,moderate
2025-08-25 03:00:00+00:00,2025-08-25 03:30:00+00:00,144,150,moderate
2025-08-25 03:30:00+00:00,2025-08-25 04:00:00+00:00,142,159,moderate
2025-08-25 04:00:00+00:00,2025-08-25 04:30:00+00:00,142,162,moderate
2025-08-25 04:30:00+00:00,2025-08-25 05:00:00+00:00,145,168,moderate
2025-08-25 05:00:00+00:00,2025-08-25 05:30:00+00:00,144,166,moderate
2025-08-25 05:30:00+00:00,2025-08-25 06:00:00+00:00,141,152,moderate
2025-08-25 06:00:00+00:00,2025-08-25 06:30:00+00:00,135,144,moderate
2025-08-25 06:30:00+00:00,2025-08-25 07:00:00+00:00,131,138,moderate
2025-08-25 07:00:00+00:00,2025-08-25 07:30:00+00:00,123,122,moderate
2025-08-25 07:30:00+00:00,2025-08-25 08:00:00+00:00,108,104,moderate
2025-08-25 08:00:00+00:00,2025-08-25 08:30:00+00:00,95,94,low
2025-08-25 08:30:00+00:00,2025-08-25 09:00:00+00:00,81,82,low
2025-08-25 09:00:00+00:00,2025-08-25 09:30:00+00:00,70,73,low
2025-08-25 09:30:00+00:00,2025-08-25 10:00:00+00:00,68,68,low
2025-08-25 10:00:00+00:00,2025-08-25 10:30:00+00:00,62,62,low
2025-08-25 10:30:00+00:00,2025-08-25 11:00:00+00:00,61,58,low
2025-08-25 11:00:00+00:00,2025-08-25 11:30:00+00:00,59,55,low
2025-08-25 11:30:00+00:00,2025-08-25 12:00:00+00:00,59,56,low
2025-08-25 12:00:00+00:00,2025-08-25 12:30:00+00:00,58,52,low
2025-08-25 12:30:00+00:00,2025-08-25 13:00:00+00:00,56,40,low
2025-08-25 13:00:00+00:00,2025-08-25 13:30:00+00:00,57,38,low
2025-08-25 13:30:00+00:00,2025-08-25 14:00:00+00:00,59,38,low
2025-08-25 14:00:00+00:00,2025-08-25 14:30:00+00:00,61,47,low
2025-08-25 14:30:00+00:00,2025-08-25 15:00:00+00:00,64,54,low
2025-08-25 15:00:00+00:00,2025-08-25 15:30:00+00:00,70,65,low
2025-08-25 15:30:00+00:00,2025-08-25 16:00:00+00:00,78,84,low
2025-08-25 16:00:00+00:00,2025-08-25 16:30:00+00:00,85,102,moderate
